Disliked 1,Disliked 2,Disliked 3,Disliked 4,Disliked 5
BAD GUY - BILLIE EILISH,WHAT MAKES YOU BEAUTIFUL - ONE DIRECTION,"WIGGLE - JASON DERULO, SNOOP DOGG",THAT'S WHAT I LIKE - BRUNO MARS,NATURAL - IMAGINE DRAGONS
IT'S EVERYDAY BRO - JAKE PAUL,IT’S EVERY NIGHT SIS - RICEGUM,WAP - CARDI B,FROZEN - MADONNA,SAY SO - DOJA CAT
BEGGIN' - MANESKIN,TAKI TAKI,I TOOK A PILL IN IBIZA - MIKE POSNER,FRIDAY - REBECCA BLACK,BABY - JUSTIN BIEBER
"I LOVE IT - KANYE WEST, LIL PUMP",FRIDAY - REBECCA BLACK,"GRADUATION - BENNY BLANCO, JUICE WRLD",ANACONDA - NICKI MINAJ,GUCCI GANG - LIL PUMP
"CALM DOWN, SELENA GOMEZ",UNDER THE INFLUENCE - CHRIS BROWN,"ANOTHER WAY TO DIE - ALICIA KEYS, JACK WHITE",DRIVERS LICENSE - OLIVIA RODRIGO,UP - CARDIB
SHAKE IT OFF - TAYLOR SWIFT,BABY - JUSTIN BIEBER,SHAPE OF YOU - ED SHEERAN,YUMMY - JUSTIN BIEBER,LOOK WHAT YOU MADE ME DO - TAYLOR SWIFT
DANCE MONKEY - TONES AND I,ASTRONAUT IN THE OCEAN - MASKED WOLF,YUMMY - JUSTIN BIEBER,HOT SHOWER - CHANCE THE RAPPER,MOTHER - MEGHAN TRAINOR
WATERMELON SUGAR - HARRY STYLES,CHEAP THRILLS - SIA,"LEAN ON - DJ SNAKE, MAJOR LAZER, MO",SORRY - JUSTIN BEIBER,BABY - JUSTIN BIEBER
ANACONDA - NICKI MINAJ,FAMOUS - KANYE WEST,GUCCI GANG - LIL PUMP,HOTLINE BLING - DRAKE,"RAIN ON ME - ARIANA GRANDE, LADY GAGA"
LOSE YOURSELF - EMINEM,"BUTTONS - THE PUSSYCAT DOLLS, SNOOP DOGG ",TOO HIGH - LIL DICKY ,BLINDING LIGHTS - THE WEEKND,"GOOSEBUMPS - TRAVIS SCOTT, KENDRICK LAMAR"
MAKHNA (HONEY SINGH),SANAK (BAADSHAH),KESARIYA (ARIJIT SINGH),PYAAR HOTA KAYI BAAR HAI (ARIJIT SINGH),DESPACITO (LUIS FONSI)
MOVES LIKE JAGGER - MAROON 5,BEJWELED - TAYLOR SWIFT,LAVENDER HAZE - TAYLOR SWIFT,"SIDE TO SIDE - ARIANA GRANDE, NICKI MINAJ",ANACONDA - NICKI MINAJ
"DANCE NOW - JID, KENNY MASON","SCARING THE HOES - JPEGMAFIA, DANNY BROWN",AIN'T IT FUNNY - DANNY BROWN,DANCE MONKEY - TONES AND I,CHAMPAGNE POETRY - DRAKE
THE FOX (WHAT DOES THE FOX SAY?) - YLVIS,SHAPE OF YOU - ED SHEERAN,ONAKKA MUNTHIRI - HESHAM ABDUL (FOR HRIDAYAM),TUPATHU - TOVINO THOMAS (FOR THALLUMAALA),OO ANTAVA - INDRAVATHI CHAUHAN
BABY - JUSTIN BIEBER,SORRY - JUSTIN BIEBER,BOYFRIEND - JUSTIN BIEBER,ANTIHERO  - TAYLOR SWIFT,WAP - CARDI B
"BOYS A LIAR - PINKPANTHERESS, ICE SPICE",SICKO MODE - TRAVIS SCOTT,MASK OFF - FUTURE,DILON KA SHOOTER :),JUMP - VAN HALEN
