Liked 1,Liked 2,Liked 3,Liked 4,Liked 5
STARBOY - THE WEEKND,STATE OF THE ART - JIM JAMES,SOMETHING IN THE WAY - NIRVANA,GET LUCKY - PHARELL WILLIAMS,SAY YOU WON'T LET GO - JAMES ARTHUR
SANCTUARY - JOJI,2002 - ANNE MARIE,SLOW DANCING IN THE DARK - JOJI,505 - ARCTIC MONKEYS,FLAWLESS - NEIGHBOURHOOD 
BEGGIN' - MADCON,SEXY AND I KNOW IT - LMFAO,INSOMNIAC - TIMEFLIES,"LEGEND - JAROSLEV BECK, BACKCHAT",GOSPEL OF THE THROTTLE - MINUTES TIL MIDNIGHT
KILLSHOT - EMINEM,MOTLEY CREW - POST MALONE,COUNT ME OUT - KENDRICK LAMAR,NO ROLE MODELZ - J. COLE,"GLORIOUS - MACKLEMORE, RYAN LEWIS"
GUNS FOR HIRE - WOODKID,SKYFALL -  ADELE,YOU KNOW MY NAME - CHRIS CORNELL,COUNTING STARS - ONEREPUBLIC ,ASHES - CELINE DION
WEIRD FISHES/ARPEGGI - RADIOHEAD,WOLVES - KANYE WEST,CHERRY - LANA DEL REY,THE KNOWING - THE WEEKND,EXIT MUSIC (FOR A FILM) - RADIOHEAD
SICK - ASH KAIMAL,UNDER MY FEET - ASH KAIMAL,LEMONGRASS - ASH KAIMAL,RUNAWAY - KANYE WEST,"FINAL STROKE - ASH KAIMAL (VERY UNDERRATED ARTIST WHO MAY OR MAY NOT BE ME, YOU CAN FIND ON SPOTIFY/APPLE MUSIC/YOUTUBE ETC!)"
DON'T FORGET ME - RED HOT CHILI PEPPERS,PERFECT - ED SHEERAN,"LOVELY - BILLIE EILISH, KHALID",HYMN FOR THE WEEKEND - COLDPLAY,"SOMETHING JUST LIKE THIS - CHAINSMOKERS, COLDPLAY"
CHIQUITITA - ABBA,WHATEVER IT TAKES - IMAGINE DRAGONS,NOWHERE MAN - BEATLES,MYSTERY OF LOVE - SUFJAN STEVENS,CALL ME CALL ME - STEVE CONTE
BURN - ELLIE GOULDING,FEEL INVINCIBLE - SKILLET,DIAMONDS - RIHANNA,BONES - IMAGINE DRAGONS,FAIRYTALE - ALEXANDER RYBAK
DANCING WITH YOUR GHOST - SASHA SLOAN,ANXIETY - JULIA MICHAELS,HEARTLESS - WEEKND,MOTH TO A FLAME - WEEKND,REMINDER - WEEKND
SHUT UP AND DANCE - WALK THE MOON,WE ARE YOUNG - FUN,ANIMALS - MAROON 5,SUGAR - MAROON 5,SHAPE OF YOU - ED SHEERAN
BLACKBIRD - ALTER BRIDGE,FADE TO BLACK - METALLICA,STAIRWAY TO HEAVEN - LED ZEPPELIN,ODE TO THE METS - THE STROKES,CHOP SUEY! - SYSTEM OF A DOWN
BLEAK - OPETH,RUST - CALIGULA'S HORSE,MARIGOLD - PERIPHERY,ONE - METALLICA,HONOR THY FATHER - DREAM THEATER
STARBOY - THE WEEKND,PYT - MICHAEL JACKSON,STAIRWAY TO HEAVEN - LED ZEPPELIN,STAN - EMINEM,DO I WANNA KNOW - ARCTIC MONKEYS
