Songs,"I-words(I, me, my)",Positive Tone,Negative Tone,Social Words,Cognitive Processes,Allure,Moralization,Analytic,Authentic,,,,,,,,,,,
STARBOY - THE WEEKND,9.6,2.46,4.91,9.6,4.46,9.82,0,45.41,38.56,,,,,,,,,,,
STATE OF THE ART - JIM JAMES,10.05,2.28,0,8.68,11.87,10.96,0,38.12,99.24,,,,,,,,,,,
SOMETHING IN THE WAY - NIRVANA,4.4,0,0,2.52,18.24,3.77,0,80.9,98.94,,,,,,,,,,,
GET LUCKY - PHARELL WILLIAMS,1.6,9.88,0,13.35,0.53,25.5,0,84.44,97.82,,,,,,,,,,,
SAY YOU WON'T LET GO - JAMES ARTHUR,11.8,4.78,0.84,15.73,13.48,11.24,0,1.34,100,,,,,,,,,,,
SANCTUARY - JOJI,9.25,5.2,1.16,11.56,17.92,9.83,0.58,2.6,99.81,,,,,,,,,,,
2002 - ANNE MARIE,3.94,5.91,0.74,10.84,4.68,11.33,0,84.44,95.71,,,,,,,,,,,
SLOW DANCING IN THE DARK - JOJI,11.81,2.36,0.39,13.39,12.99,10.24,0,3.68,96.83,,,,,,,,,,,
505 - ARCTIC MONKEYS,8.1,1.9,2.86,9.52,10.95,10,0,43.94,99.78,,,,,,,,,,,
FLAWLESS - NEIGHBOURHOOD,8.26,10.4,3.36,13.46,14.68,8.26,0,6.34,53.86,,,,,,,,,,,
BEGGIN' - MADCON,9.65,5.45,1.24,13.61,10.15,12.13,0,29.9,92.97,,,,,,,,,,,
SEXY AND I KNOW IT - LMFAO,9.21,1.84,1.05,8.42,3.42,13.16,0,49.94,76.52,,,,,,,,,,,
INSOMNIAC - TIMEFLIES,15.17,1.29,2.57,12.08,9,10.03,0,4.39,95.12,,,,,,,,,,,
"LEGEND - JAROSLEV BECK, BACKCHAT",12.81,2.46,0.49,4.93,7.64,10.1,0,26.42,99.97,,,,,,,,,,,
GOSPEL OF THE THROTTLE - MINUTES TIL MIDNIGHT,12.87,5.85,0,0.58,2.92,11.11,0,45.27,95.54,,,,,,,,,,,
