"I-words (I, me, my)",Positive Tone,Negative Tone,Social Words,Cognitive Processes,Allure,Moralization,Analytic,Authentic
6.984,3.036,2.948,14.066,9.128,10.056,0.454,18.552,49.646
5.562,1.634,0.954,4.732,6.388,6.746,0.056,11.936,49.952
7.578,4.394,1.06,9.204,6.778,8.648,0.096,25.16,75.076
3.034,3.144,0.414,7.594,3.508,6.366,0.184,32.77,36.41
4.044,1.428,1.01,7.828,8.17,6.642,0.082,18.226,50.454
11.936,2.756,1.99,9.586,5.234,8.684,0.924,12.226,73.188
8.622,1.418,1.68,10.372,6.674,8.56,0.466,19.93,51.458
7.608,3.454,1.196,7.842,8.672,12.796,0.072,26.926,59.146
8.35,1.828,0.778,8.602,7.736,7.368,0.282,30.322,46.82
5.728,1.27,1.518,5.302,5.048,6.786,0.38,12.45,50.718
4.92,0.754,0.44,3.428,4.182,5.706,0,9.368,31.146
8.972,2.454,1.558,9.642,10.554,9.342,0.152,25.196,76.03
2.748,1.496,0.128,3.28,2.516,4.476,0,18.97,25.074
9.248,1.494,0.536,11.158,7.984,7.524,0.286,8.706,67.566
4.098,1.198,0.59,5.976,4.634,6.24,0,24.542,41.546
2.382,0.314,0.94,0.878,3.134,2.132,0.126,6.316,18.314
8.946,2.074,4.646,8.258,7.44,8.63,2.306,39.75,79.552
11.668,2.82,1.652,11,8.866,12.382,0.456,22.732,88.62
7.724,2.96,1.258,8.008,7.304,6.48,0.1,1.004,54.936
10.97,3.492,3.578,15.258,14.31,8.786,0.276,10.474,44.488
6.95,1.714,2.748,6.726,6.772,7.926,0.13,33.544,64.872
7.514,2.152,1.156,8.48,6.662,6.514,0.224,22.224,74.684
6.04,2.896,0.572,9.66,7.026,7.718,0,46.68,52.894
7.712,5.084,2.658,8.876,5.25,8.47,0.574,40.2,67.728
9.414,2.222,0.616,8.01,5.388,9.254,0.086,18.062,64.898
11.354,1.872,1.032,12.254,7.214,9.56,0.37,26.286,76.37
10.742,3.164,3.708,12.99,10.84,11.376,0.04,6.892,79.712
