"I-words (I, me, my)",Positive Tone,Negative Tone,Social Words,Cognitive Processes,Allure,Moralization,Analytic,Authentic
6.9625,4.235,0.21,10.07,11.03,12.8675,0,51.2,99
8.275,3.8425,1.2875,11.3275,11.635,10.35,0.145,33.665,98.0325
11.942,3.378,1.07,7.924,6.626,11.306,0,31.184,92.024
9.38,3.426,2.54,9.296,8.476,9.77,0.416,33.134,71.908
5.016666667,2.686666667,2.92,12.68333333,9.423333333,13.16,0.646666667,34.13666667,94.73666667
6.875,4.88,4.345,14.5325,9.915,9.565,0.62,11.18,65.6525
7.69,1.78,2.37,11.69,8.14,13.46,1.33,27.22,89.41
10.814,4.148,0.76,7.72,13.924,10.916,0.14,23.896,80.952
10.408,3.726,2.366,10.354,10.148,9.752,0.11,20.094,78.386
9.214,6.45,1.952,7.848,10.44,11.164,0.248,40.914,69.174
10.502,3.038,2.278,11.678,9.048,11.698,0,23.292,80.562
6.364,1.67,2.91,9.702,12.472,7.984,1.278,30.46,84.698
8.76,2.604,3.646,7.344,6.564,9.426,0.504,37.714,79.906
7.1225,3.9875,1.235,12.0025,13.78,10.925,0.0975,12.79,67.9775
6.57,4.14,4.603333333,12.54666667,12.22666667,14.29333333,0.186666667,16.44333333,63.56
10.145,1.645,2.63,10.82,6.99,10.8,0,20.17,92.895
12.28,1.394,3.556,12.964,12.922,9.268,0.228,9.446,89.464
12.89,3.484,3.228,8.7,16.416,10.806,0.758,7.466,84.244
3.56,2.43,2.496666667,9.7,10.59,13.33666667,0.123333333,25.72333333,93.94333333
9.398,1.974,1.498,7.462,13.126,14.772,0.038,28.516,95.424
9.052,2.44,1.838,10.494,10.6,11.562,0.226,26.216,88.026
10.47,3.19,1.696,10.758,9.624,10.522,0.284,20.192,91.284
12.2225,3.34,2.56,9.8275,12.515,9.44,0.8775,8.72,86.1675
12.444,3.084,0.782,12.108,14.144,13.366,0.224,17.028,89.832
10.528,4.974,1.794,5.656,9.582,8.498,0.05,21.632,99.02
10.2925,1.47,2.7675,9.4175,10.0975,11.14,0.3275,16.195,89.295
4.682,2.236,2.348,11.22,9.632,13.65,0.306,37.378,64.198
